state,number_of_incidents
Alabama,5471
Alaska,1349
Arizona,2328
Arkansas,2842
California,16306
Colorado,3201
Connecticut,3067
Delaware,1685
District of Columbia,3195
Florida,15029
Georgia,8925
Hawaii,289
Idaho,661
Illinois,17556
Indiana,5852
Iowa,2517
Kansas,2145
Kentucky,4157
Louisiana,8103
Maine,907
Maryland,5798
Massachusetts,5981
Michigan,6136
Minnesota,2408
Mississippi,3599
Missouri,6631
Montana,638
Nebraska,1651
Nevada,1952
New Hampshire,964
New Jersey,5387
New Mexico,1645
New York,9712
North Carolina,8739
North Dakota,573
Ohio,10244
Oklahoma,3455
Oregon,2286
Pennsylvania,8929
Rhode Island,895
South Carolina,6939
South Dakota,544
Tennessee,7626
Texas,13577
Utah,1072
Vermont,472
Virginia,5949
Washington,3434
West Virginia,1575
Wisconsin,4787
Wyoming,494
