state,number_of_incidents
Hawaii,289
Vermont,472
Wyoming,494
South Dakota,544
North Dakota,573
Montana,638
Idaho,661
Rhode Island,895
Maine,907
New Hampshire,964
Utah,1072
Alaska,1349
West Virginia,1575
New Mexico,1645
Nebraska,1651
Delaware,1685
Nevada,1952
Kansas,2145
Oregon,2286
Arizona,2328
Minnesota,2408
Iowa,2517
Arkansas,2842
Connecticut,3067
District of Columbia,3195
Colorado,3201
Washington,3434
Oklahoma,3455
Mississippi,3599
Kentucky,4157
Wisconsin,4787
New Jersey,5387
Alabama,5471
Maryland,5798
Indiana,5852
Virginia,5949
Massachusetts,5981
Michigan,6136
Missouri,6631
South Carolina,6939
Tennessee,7626
Louisiana,8103
North Carolina,8739
Georgia,8925
Pennsylvania,8929
New York,9712
Ohio,10244
Texas,13577
Florida,15029
California,16306
Illinois,17556
